ID COMERCIO,EMPRESA,DIRECCION,TELEFONOS,PROPIETARIO,ANTIGÜEDAD,MAYORISTA,MINORISTA,SERVICIOS,TIPO,FAMILIAR?,RUC,LATITUD,LONGITUD,RUBRO
661,TCH RECEPCIONES,CALLE DON BOSCO,331242159,MUJER,48,NO,NO,SÍ,PEQUEÑA,NO,0,-23.40763,-57.43696,FRUTAS - Produccion
662,PINDU VENTAS,DON BOSCO ,971916591,HOMBRE,12,NO,SÍ,NO,MICRO,NO,0,-23.40766,-57.43722,ARTICULOS DE MERCERIA
663,MARKA NOVEDADES,DON BOSCO,98752541,MUJER,17,NO,SÍ,NO,MICRO,NO,0,-23.40761,-57.43723,PRODUCTOS GANADEROS - Ventas
664,CENTRO ESTETICO LOURDES PIRELLI,CALLE DON BOSCO,0,MUJER,36,NO,SÍ,SÍ,MICRO,NO,0,-23.40752,-57.43723,ALMACENES GENERALES DE DEPOSITO
665,QUE MODA,DON BOSCO  CASI DANIEL OTAZO,971813032,MUJER,3,NO,SÍ,NO,MICRO,NO,785494-3,-23.40764,-57.43665,AUTOMOTORES - Repuestos y Accesorios
666,CASA LUNA,ROMUALDO YRIGOYEN C/ AV.  AYALA,0331 243242,HOMBRE,240,NO,SÍ,NO,MICRO,SÍ,1429807-4,-23.41501,-57.44612,ALTA COSTURA - Confecciones
667,FOTOCOPIADORA,DON BOSCO Y TENIENTE ROJAS SILVA,981660311,HOMBRE,84,NO,SÍ,NO,MICRO,NO,0,-23.40739,-57.43143,MINI-MERCADOS
668,LA NEGRITA,DON BOSCO C/ TTE. SEMIDEI,975592977,HOMBRE,30,NO,SÍ,NO,MICRO,NO,5039200-0,-23.4076,-57.43206,COMIDAS - Servicios de - Ver: Servicios de Comida
669,DORYS FASHION BOUTIQUE ,AVDA BERNARDINO CABALLERO CASI PROFESOR CABRAL,984368703,MUJER,24,NO,SÍ,NO,MICRO,NO,3555552-1,-23.40936,-57.43861,BEBIDAS - Depositos de
670,MINI SHOP,DON BOSCO C/PINEDO,0331 241084,MUJER,108,SÍ,SÍ,NO,MICRO,SÍ,2884362-2,-23.40772,-57.44079,AUTOMOTORES - Electricidad del Automovil
671,LA ESMERALDA ,MAYOR LORENZO MEDINA CASA AVENIDA PINEDO,0,HOMBRE,300,NO,SÍ,NO,MICRO,SÍ,0,-23.408519,-57.440772,AUTOMOTORES - Talleres Mecanicos
672,HOC CELL ,DON BOSCO C/ AVENIDA PINEDO,331241123,HOMBRE,144,NO,SÍ,NO,PEQUEÑA,SÍ,2377564-5,-23.40769,-57.44063,ELECTRODOMESTICOS - Distribuidoras
673,D. A,BERNARDINO CABALLERO,984731444,HOMBRE,5,NO,SÍ,NO,MICRO,SÍ,171456,-23.40799,-57.42942,CELULAR - Activaciones
674,PUNTO CELL ,DON BOSCO Y SCREIBERT,331240408,HOMBRE,60,NO,SÍ,NO,MICRO,NO,3983003-9,-23.40764,-57.43931,ESTUCHES PARA JOYAS - Fabricas
675,ALMACÉN GLORIA,PADRE SARMIENTO C/ SEMIDEI,971821628,MUJER,12,NO,SÍ,NO,MICRO,SÍ,0,-23.40642,-57.43192,ALMACENES RAMOS GENERALES
